For class             beaver             on the CIFAR-100 dataset, Top-1 accuracy is 0.970930, Top-5 accuracy is 1.000000
For class       computer keyboard        on the CIFAR-100 dataset, Top-1 accuracy is 0.935897, Top-5 accuracy is 0.993590
For class              lamp              on the CIFAR-100 dataset, Top-1 accuracy is 0.911392, Top-5 accuracy is 0.981013
For class           telephone            on the CIFAR-100 dataset, Top-1 accuracy is 0.910714, Top-5 accuracy is 0.970238
For class           television           on the CIFAR-100 dataset, Top-1 accuracy is 0.926829, Top-5 accuracy is 0.993902
For class              bed               on the CIFAR-100 dataset, Top-1 accuracy is 0.911765, Top-5 accuracy is 0.988235
For class             chair              on the CIFAR-100 dataset, Top-1 accuracy is 0.929577, Top-5 accuracy is 0.985915
For class             couch              on the CIFAR-100 dataset, Top-1 accuracy is 0.925926, Top-5 accuracy is 0.975309
For class             table              on the CIFAR-100 dataset, Top-1 accuracy is 0.862500, Top-5 accuracy is 1.000000
For class            wardrobe            on the CIFAR-100 dataset, Top-1 accuracy is 0.931818, Top-5 accuracy is 0.971591
For class              bee               on the CIFAR-100 dataset, Top-1 accuracy is 0.670732, Top-5 accuracy is 0.987805
For class             beetle             on the CIFAR-100 dataset, Top-1 accuracy is 0.943750, Top-5 accuracy is 1.000000
For class           butterfly            on the CIFAR-100 dataset, Top-1 accuracy is 0.885135, Top-5 accuracy is 0.979730
For class          caterpillar           on the CIFAR-100 dataset, Top-1 accuracy is 0.886076, Top-5 accuracy is 0.974684
For class           cockroach            on the CIFAR-100 dataset, Top-1 accuracy is 0.964286, Top-5 accuracy is 1.000000
For class              bear              on the CIFAR-100 dataset, Top-1 accuracy is 0.960526, Top-5 accuracy is 1.000000
For class            leopard             on the CIFAR-100 dataset, Top-1 accuracy is 1.000000, Top-5 accuracy is 1.000000
For class              lion              on the CIFAR-100 dataset, Top-1 accuracy is 0.896739, Top-5 accuracy is 1.000000
For class             tiger              on the CIFAR-100 dataset, Top-1 accuracy is 0.941558, Top-5 accuracy is 0.974026
For class              wolf              on the CIFAR-100 dataset, Top-1 accuracy is 0.974026, Top-5 accuracy is 0.993506
For class             bridge             on the CIFAR-100 dataset, Top-1 accuracy is 0.889610, Top-5 accuracy is 0.967532
For class             castle             on the CIFAR-100 dataset, Top-1 accuracy is 0.843373, Top-5 accuracy is 0.957831
For class             house              on the CIFAR-100 dataset, Top-1 accuracy is 0.700000, Top-5 accuracy is 1.000000
For class              road              on the CIFAR-100 dataset, Top-1 accuracy is 0.970588, Top-5 accuracy is 1.000000
For class           skyscraper           on the CIFAR-100 dataset, Top-1 accuracy is 0.935897, Top-5 accuracy is 1.000000
For class             cloud              on the CIFAR-100 dataset, Top-1 accuracy is 0.866279, Top-5 accuracy is 0.982558
For class             forest             on the CIFAR-100 dataset, Top-1 accuracy is 0.969880, Top-5 accuracy is 1.000000
For class            mountain            on the CIFAR-100 dataset, Top-1 accuracy is 0.721519, Top-5 accuracy is 1.000000
For class             plain              on the CIFAR-100 dataset, Top-1 accuracy is 1.000000, Top-5 accuracy is 1.000000
For class              sea               on the CIFAR-100 dataset, Top-1 accuracy is 0.967949, Top-5 accuracy is 1.000000
For class             camel              on the CIFAR-100 dataset, Top-1 accuracy is 0.850649, Top-5 accuracy is 0.980519
For class             cattle             on the CIFAR-100 dataset, Top-1 accuracy is 0.961538, Top-5 accuracy is 1.000000
For class           chimpanzee           on the CIFAR-100 dataset, Top-1 accuracy is 0.936620, Top-5 accuracy is 0.978873
For class            elephant            on the CIFAR-100 dataset, Top-1 accuracy is 0.940217, Top-5 accuracy is 1.000000
For class            kangaroo            on the CIFAR-100 dataset, Top-1 accuracy is 0.823944, Top-5 accuracy is 1.000000
For class              fox               on the CIFAR-100 dataset, Top-1 accuracy is 0.921053, Top-5 accuracy is 1.000000
For class           porcupine            on the CIFAR-100 dataset, Top-1 accuracy is 0.831325, Top-5 accuracy is 0.993976
For class             possum             on the CIFAR-100 dataset, Top-1 accuracy is 0.825843, Top-5 accuracy is 1.000000
For class            raccoon             on the CIFAR-100 dataset, Top-1 accuracy is 0.870130, Top-5 accuracy is 0.993506
For class             skunk              on the CIFAR-100 dataset, Top-1 accuracy is 0.803797, Top-5 accuracy is 0.943038
For class              crab              on the CIFAR-100 dataset, Top-1 accuracy is 0.928571, Top-5 accuracy is 0.987013
For class            lobster             on the CIFAR-100 dataset, Top-1 accuracy is 0.954545, Top-5 accuracy is 0.987013
For class             snail              on the CIFAR-100 dataset, Top-1 accuracy is 0.930380, Top-5 accuracy is 1.000000
For class             spider             on the CIFAR-100 dataset, Top-1 accuracy is 0.987342, Top-5 accuracy is 1.000000
For class              worm              on the CIFAR-100 dataset, Top-1 accuracy is 0.938272, Top-5 accuracy is 1.000000
For class              baby              on the CIFAR-100 dataset, Top-1 accuracy is 0.920000, Top-5 accuracy is 0.980000
For class              boy               on the CIFAR-100 dataset, Top-1 accuracy is 0.901235, Top-5 accuracy is 1.000000
For class              girl              on the CIFAR-100 dataset, Top-1 accuracy is 0.812500, Top-5 accuracy is 0.954545
For class              man               on the CIFAR-100 dataset, Top-1 accuracy is 0.941860, Top-5 accuracy is 0.994186
For class             woman              on the CIFAR-100 dataset, Top-1 accuracy is 0.917582, Top-5 accuracy is 0.978022
For class           crocodile            on the CIFAR-100 dataset, Top-1 accuracy is 0.994253, Top-5 accuracy is 1.000000
For class            dinosaur            on the CIFAR-100 dataset, Top-1 accuracy is 0.953333, Top-5 accuracy is 1.000000
For class             lizard             on the CIFAR-100 dataset, Top-1 accuracy is 0.953947, Top-5 accuracy is 1.000000
For class             snake              on the CIFAR-100 dataset, Top-1 accuracy is 0.921687, Top-5 accuracy is 0.993976
For class             turtle             on the CIFAR-100 dataset, Top-1 accuracy is 1.000000, Top-5 accuracy is 1.000000
For class            hamster             on the CIFAR-100 dataset, Top-1 accuracy is 0.957317, Top-5 accuracy is 0.981707
For class             mouse              on the CIFAR-100 dataset, Top-1 accuracy is 0.886076, Top-5 accuracy is 1.000000
For class             rabbit             on the CIFAR-100 dataset, Top-1 accuracy is 0.987179, Top-5 accuracy is 1.000000
For class             shrew              on the CIFAR-100 dataset, Top-1 accuracy is 0.945122, Top-5 accuracy is 1.000000
For class            squirrel            on the CIFAR-100 dataset, Top-1 accuracy is 0.973684, Top-5 accuracy is 1.000000
For class             maple              on the CIFAR-100 dataset, Top-1 accuracy is 0.981013, Top-5 accuracy is 1.000000
For class              oak               on the CIFAR-100 dataset, Top-1 accuracy is 0.934524, Top-5 accuracy is 0.994048
For class              palm              on the CIFAR-100 dataset, Top-1 accuracy is 0.953947, Top-5 accuracy is 0.967105
For class              pine              on the CIFAR-100 dataset, Top-1 accuracy is 0.938889, Top-5 accuracy is 0.994444
For class             willow             on the CIFAR-100 dataset, Top-1 accuracy is 1.000000, Top-5 accuracy is 1.000000
For class            bicycle             on the CIFAR-100 dataset, Top-1 accuracy is 0.935897, Top-5 accuracy is 1.000000
For class              bus               on the CIFAR-100 dataset, Top-1 accuracy is 0.928571, Top-5 accuracy is 1.000000
For class           motorcycle           on the CIFAR-100 dataset, Top-1 accuracy is 0.914634, Top-5 accuracy is 0.993902
For class          pickup truck          on the CIFAR-100 dataset, Top-1 accuracy is 0.959459, Top-5 accuracy is 1.000000
For class             train              on the CIFAR-100 dataset, Top-1 accuracy is 0.974684, Top-5 accuracy is 1.000000
For class           lawn-mower           on the CIFAR-100 dataset, Top-1 accuracy is 0.860759, Top-5 accuracy is 0.993671
For class             rocket             on the CIFAR-100 dataset, Top-1 accuracy is 0.802632, Top-5 accuracy is 0.993421
For class           streetcar            on the CIFAR-100 dataset, Top-1 accuracy is 0.962500, Top-5 accuracy is 0.981250
For class              tank              on the CIFAR-100 dataset, Top-1 accuracy is 0.868421, Top-5 accuracy is 1.000000
For class            tractor             on the CIFAR-100 dataset, Top-1 accuracy is 0.936620, Top-5 accuracy is 1.000000
========================================================================================================================
For the best model on the CIFAR-100 dataset, Total Top-1 accuracy is 0.918400, Total Top-5 accuracy is 0.992100
